"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","713","TC-ACCOUNT-02: Authenticated user can open new account","Google Chrome","2026-07-25","passed","2026-07-25","","account-opening/account-opening.spec.ts","",""
"","738","TC-LOGIN-02: Invalid username","Google Chrome","2026-07-25","passed","2026-07-25","","login/login.spec.ts","",""
"","761","TC-LOGIN-08: Authenticated user can logout successfully","Google Chrome","2026-07-25","passed","2026-07-25","","login/login.spec.ts","",""
"","749","TC-TRANSFER-FUNDS-02: Authenticated user can transfer funds","Google Chrome","2026-07-25","passed","2026-07-25","","transfer-funds/transfer-funds.spec.ts","",""
"","543","TC-LOGIN-03: Invalid password","Google Chrome","2026-07-25","passed","2026-07-25","","login/login.spec.ts","",""
"","512","TC-LOGIN-05: Empty username","Google Chrome","2026-07-25","passed","2026-07-25","","login/login.spec.ts","",""
"","675","TC-TRANSFER_FUNDS-01: Authenticated user can access transfer funds page","Google Chrome","2026-07-25","passed","2026-07-25","","transfer-funds/transfer-funds.spec.ts","",""
"","771","TC-BILL-PAY-06: Bill payment fails with invalid amount","Google Chrome","2026-07-25","passed","2026-07-25","","bill-payment/bill-pay.spec.ts","",""
"","509","TC-LOGIN-07: Empty username + password","Google Chrome","2026-07-25","passed","2026-07-25","","login/login.spec.ts","",""
"","1407","TC-BILL-PAY-03: Authenticated user can make multiple bill payments","Google Chrome","2026-07-25","passed","2026-07-25","","bill-payment/bill-pay.spec.ts","",""
"","546","TC-LOGIN-06: Empty password","Google Chrome","2026-07-25","passed","2026-07-25","","login/login.spec.ts","",""
"","788","TC-BILL-PAY-04: Bill payment fails with mismatched account numbers","Google Chrome","2026-07-25","passed","2026-07-25","","bill-payment/bill-pay.spec.ts","",""
"","794","TC-BILL-PAY-02: Authenticated user can make a single bill payment","Google Chrome","2026-07-25","passed","2026-07-25","","bill-payment/bill-pay.spec.ts","",""
"","666","TC-TRANSFER_FUNDS-03: Transfer funds fails with empty amount","Google Chrome","2026-07-25","passed","2026-07-25","","transfer-funds/transfer-funds.spec.ts","",""
"","600","TC-LOGIN-01: Valid user can login successfully","Google Chrome","2026-07-25","passed","2026-07-25","","login/login.spec.ts","",""
"","755","TC-ACCOUNT-01: Authenticated user can access Open New Account page","Google Chrome","2026-07-25","passed","2026-07-25","","account-opening/account-opening.spec.ts","",""
"","624","TC-BILL-PAY-01: Authenticated user can access bill payment page","Google Chrome","2026-07-25","passed","2026-07-25","","bill-payment/bill-pay.spec.ts","",""
"","564","TC-LOGIN-04: Invalid username + password","Google Chrome","2026-07-25","passed","2026-07-25","","login/login.spec.ts","",""
"","815","TC-BILL-PAY-05: Bill payment fails with missing required fields","Google Chrome","2026-07-25","passed","2026-07-25","","bill-payment/bill-pay.spec.ts","",""
